resource_desc,resource_api
blocklist_ds_host_add / Add host in block list for data sources,/services/trackme/v1/blocklist/blocklist_ds_host_add
blocklist_ds_index_add / Add index in block list for data sources,/services/trackme/v1/blocklist/blocklist_ds_index_add
blocklist_ds_index_add / Add sourcetype in block list for data sources,/services/trackme/v1/blocklist/blocklist_ds_sourcetype_add
blocklist_dh_host_add / Add host in block list for data hosts,/services/trackme/v1/blocklist/blocklist_dh_host_add
blocklist_dh_index_add / Add index in block list for data hosts,/services/trackme/v1/blocklist/blocklist_dh_index_add
blocklist_dh_sourcetype_add / Add sourcetype in block list for data hosts,/services/trackme/v1/blocklist/blocklist_dh_sourcetype_add
blocklist_mh_host_add / Add host in block list for metric hosts,/services/trackme/v1/blocklist/blocklist_mh_host_add
blocklist_mh_index_add / Add index in block list for metric hosts,/services/trackme/v1/blocklist/blocklist_mh_index_add
blocklist_mh_metric_category_add / Add metric_category in block list for metric hosts,/services/trackme/v1/blocklist/blocklist_mh_metric_category_add
blocklist_ds_host_del / Delete host in block list for data sources,/services/trackme/v1/blocklist/blocklist_ds_host_del
blocklist_ds_index_del / Delete index in block list for data sources,/services/trackme/v1/blocklist/blocklist_ds_index_del
blocklist_ds_sourcetype_del / Delete sourcetype in block list for data sources,/services/trackme/v1/blocklist/blocklist_ds_sourcetype_del
blocklist_dh_host_del / Delete host in block list for data hosts,/services/trackme/v1/blocklist/blocklist_dh_host_del
blocklist_dh_index_del / Delete index in block list for data hosts,/services/trackme/v1/blocklist/blocklist_dh_index_del
blocklist_dh_sourcetype_del / Delete sourcetype in block list for data hosts,/services/trackme/v1/blocklist/blocklist_dh_sourcetype_del
blocklist_mh_host_del / Delete host in block list for metric hosts,/services/trackme/v1/blocklist/blocklist_mh_host_del
blocklist_mh_index_del / Delete index in block list for metric hosts,/services/trackme/v1/blocklist/blocklist_mh_index_del
blocklist_mh_metric_category_del / Delete metric_category in block list for metric hosts,/services/trackme/v1/blocklist/blocklist_mh_metric_category_del
logical_groups_collection / Get entire logical groups collection,/services/trackme/v1/logical_groups/logical_groups_collection
logical_groups_get_grp / Get a logical group,/services/trackme/v1/logical_groups/logical_groups_get_grp
logical_groups_add_grp / Add a new or update a logical group,/services/trackme/v1/logical_groups/logical_groups_add_grp
logical_groups_del_grp / Delete a logical group,/services/trackme/v1/logical_groups/logical_groups_del_grp
data_sampling_collection / Get Data sampling collection,/services/trackme/v1/data_sampling/data_sampling_collection
data_sampling_by_name / Get Data sampling record by data source,/services/trackme/v1/data_sampling/data_sampling_by_name
data_sampling_del / Delete a data sampling record for a given data source,/services/trackme/v1/data_sampling/data_sampling_del
data_sampling_reset / Reset and run data sampling for a given data source,/services/trackme/v1/data_sampling/data_sampling_reset
data_sampling_models / Get data sampling custom models,/services/trackme/v1/data_sampling/data_sampling_models
data_sampling_models_by_name / Get data sampling custom model by name,/services/trackme/v1/data_sampling/data_sampling_models_by_name
data_sampling_models_add / Add a new custom model or update,/services/trackme/v1/data_sampling/data_sampling_models_add
data_sampling_models_del / Delete a custom model,/services/trackme/v1/data_sampling/data_sampling_models_del
tag_policies / Get tag policies,/services/trackme/v1/tag_policies/tag_policies
tag_policies_by_id / Get tag policy by id,/services/trackme/v1/tag_policies/tag_policies_by_id
tag_policies_add / Add a new tag policy or update,/services/trackme/v1/tag_policies/tag_policies_add
tag_policies_del / Delete a tag policy,/services/trackme/v1/tag_policies/tag_policies_del
lagging_classes / Get lagging classes,/services/trackme/v1/lagging_classes/lagging_classes
lagging_classes_by_name / Get lagging class by name,/services/trackme/v1/lagging_classes/lagging_classes_by_name
lagging_classes_add / Add a new lagging class or update,/services/trackme/v1/lagging_classes/lagging_classes_add
lagging_classes_del / Delete a lagging class,/services/trackme/v1/lagging_classes/lagging_classes_del
lagging_classes_metrics / Get lagging classes,/services/trackme/v1/lagging_classes_metrics/lagging_classes_metrics
lagging_classes_metrics_by_name / Get lagging class by name,/services/trackme/v1/lagging_classes_metrics/lagging_classes_metrics_by_name
lagging_classes_metrics_add / Add a new lagging class or update,/services/trackme/v1/lagging_classes_metrics/lagging_classes_metrics_add
lagging_classes_metrics_del / Delete a lagging class,/services/trackme/v1/lagging_classes_metrics/lagging_classes_metrics_del
ds_smart_status / Run Smart Status for a data source,/services/trackme/v1/smart_status/ds_smart_status
dh_smart_status / Run Smart Status for a data host,/services/trackme/v1/smart_status/dh_smart_status
mh_smart_status / Run Smart Status for a metric host,/services/trackme/v1/smart_status/mh_smart_status
