collection
kv_trackme_data_source_monitoring
kv_trackme_host_monitoring
kv_trackme_metric_host_monitoring
kv_trackme_metric_lagging_definition
kv_trackme_data_source_monitoring_blacklist_host
kv_trackme_data_source_monitoring_blacklist_index
kv_trackme_data_source_monitoring_blacklist_sourcetype
kv_trackme_data_source_monitoring_whitelist_index
kv_trackme_data_host_monitoring_whitelist_index
kv_trackme_metric_host_monitoring_whitelist_index
kv_trackme_data_host_monitoring_blacklist_host
kv_trackme_data_host_monitoring_blacklist_index
kv_trackme_data_host_monitoring_blacklist_sourcetype
kv_trackme_metric_host_monitoring_blacklist_host
kv_trackme_metric_host_monitoring_blacklist_index
kv_trackme_metric_host_monitoring_blacklist_metric_category
kv_trackme_summary_investigator_volume_outliers
kv_trackme_custom_lagging_definition
kv_trackme_audit_changes
kv_trackme_sources_knowledge
kv_trackme_alerts_ack
kv_trackme_logical_group
kv_trackme_maintenance_mode
kv_trackme_elastic_sources
kv_trackme_elastic_sources_dedicated
kv_trackme_data_sampling
kv_trackme_data_sampling_custom_models
kv_trackme_tags_policies
